K,T,S0,iv,type
25.0,0.038356164383561646,30.41,1.0332079589843752,call
26.0,0.038356164383561646,30.41,0.5039112109375,call
27.0,0.038356164383561646,30.41,0.6679720703125002,call
27.5,0.038356164383561646,30.41,0.63086306640625,call
28.0,0.038356164383561646,30.41,0.614261669921875,call
28.5,0.038356164383561646,30.41,0.6132851171875001,call
29.0,0.038356164383561646,30.41,0.579105771484375,call
29.5,0.038356164383561646,30.41,0.5898478515625001,call
30.0,0.038356164383561646,30.41,0.6093789062500001,call
30.5,0.038356164383561646,30.41,0.735354208984375,call
31.0,0.038356164383561646,30.41,0.59570716796875,call
31.5,0.038356164383561646,30.41,0.694338994140625,call
32.0,0.038356164383561646,30.41,0.6953155468750001,call
32.5,0.038356164383561646,30.41,0.5908244042968751,call
33.0,0.038356164383561646,30.41,0.6152382226562501,call
33.5,0.038356164383561646,30.41,0.69336244140625,call
34.0,0.038356164383561646,30.41,0.5634809277343751,call
34.5,0.038356164383561646,30.41,0.6523472265625001,call
35.0,0.038356164383561646,30.41,0.6972686523437501,call
35.5,0.038356164383561646,30.41,0.725588681640625,call
36.0,0.038356164383561646,30.41,0.8125018749999999,call
38.0,0.038356164383561646,30.41,0.9023447265625,call
38.5,0.038356164383561646,30.41,0.937500625,call
39.0,0.038356164383561646,30.41,0.8007832421875,call
40.0,0.038356164383561646,30.41,0.8867198828124999,call
41.0,0.038356164383561646,30.41,1.1035201074218752,call
42.0,0.038356164383561646,30.41,1.1640666796875,call
42.5,0.038356164383561646,30.41,1.1953165234375,call
43.0,0.038356164383561646,30.41,1.2236366943359376,call
44.0,0.038356164383561646,30.41,1.2812535937499998,call
46.0,0.038356164383561646,30.41,1.3886749316406248,call
47.0,0.038356164383561646,30.41,1.439455927734375,call
18.0,0.057534246575342465,30.41,1.763673056640625,call
25.0,0.057534246575342465,30.41,0.64062859375,call
26.0,0.057534246575342465,30.41,0.637698935546875,call
28.0,0.057534246575342465,30.41,0.5742230078125,call
28.5,0.057534246575342465,30.41,0.6425816992187501,call
29.0,0.057534246575342465,30.41,0.6435582519531251,call
30.0,0.057534246575342465,30.41,0.5747112841796875,call
31.0,0.057534246575342465,30.41,0.6284216845703126,call
31.5,0.057534246575342465,30.41,0.579105771484375,call
32.0,0.057534246575342465,30.41,0.7314479980468749,call
32.5,0.057534246575342465,30.41,0.6958038232421876,call
33.0,0.057534246575342465,30.41,0.6250037500000001,call
34.0,0.057534246575342465,30.41,0.6914093359375001,call
35.0,0.057534246575342465,30.41,0.6621127539062501,call
36.0,0.057534246575342465,30.41,0.6777375976562501,call
46.0,0.057534246575342465,30.41,1.158207333984375,call
47.0,0.057534246575342465,30.41,1.2001993115234375,call
18.0,0.07671232876712329,30.41,1.5439475927734374,call
25.5,0.07671232876712329,30.41,0.6796907031250001,call
27.0,0.07671232876712329,30.41,0.648441015625,call
28.5,0.07671232876712329,30.41,0.5952188916015625,call
29.0,0.07671232876712329,30.41,0.594730615234375,call
31.0,0.07671232876712329,30.41,0.694338994140625,call
32.0,0.07671232876712329,30.41,0.6259803027343751,call
33.0,0.07671232876712329,30.41,0.5864299169921875,call
35.0,0.07671232876712329,30.41,0.6084023535156251,call
39.0,0.07671232876712329,30.41,0.84179845703125,call
15.0,0.0958904109589041,30.41,1.853516357421875,call
16.0,0.0958904109589041,30.41,1.78515732421875,call
17.0,0.0958904109589041,30.41,1.43359658203125,call
18.0,0.0958904109589041,30.41,1.5214867675781247,call
19.0,0.0958904109589041,30.41,1.4570339648437498,call
20.0,0.0958904109589041,30.41,1.1044966650390626,call
21.0,0.0958904109589041,30.41,0.6699251757812501,call
22.0,0.0958904109589041,30.41,0.6543003320312502,call
23.0,0.0958904109589041,30.41,0.6621127539062501,call
24.0,0.0958904109589041,30.41,0.6982452050781252,call
25.0,0.0958904109589041,30.41,0.6347692773437501,call
26.0,0.0958904109589041,30.41,0.6640658593750002,call
27.0,0.0958904109589041,30.41,0.6987334814453126,call
28.0,0.0958904109589041,30.41,0.6499058447265625,call
29.0,0.0958904109589041,30.41,0.6728548339843752,call
30.0,0.0958904109589041,30.41,0.6762727685546877,call
31.0,0.0958904109589041,30.41,0.6054726953125001,call
32.0,0.0958904109589041,30.41,0.6684603466796877,call
33.0,0.0958904109589041,30.41,0.7651390673828126,call
34.0,0.0958904109589041,30.41,0.6616244775390626,call
35.0,0.0958904109589041,30.41,0.6816438085937502,call
36.0,0.0958904109589041,30.41,0.6752962158203126,call
37.0,0.0958904109589041,30.41,0.71679970703125,call
38.0,0.0958904109589041,30.41,0.6787141503906251,call
39.0,0.0958904109589041,30.41,0.6748079394531252,call
40.0,0.0958904109589041,30.41,0.719729365234375,call
41.0,0.0958904109589041,30.41,0.7861349511718749,call
42.0,0.0958904109589041,30.41,0.75195560546875,call
43.0,0.0958904109589041,30.41,0.7763694238281251,call
44.0,0.0958904109589041,30.41,0.84179845703125,call
45.0,0.0958904109589041,30.41,0.8632826171875,call
46.0,0.0958904109589041,30.41,0.84961087890625,call
47.0,0.0958904109589041,30.41,0.8457046679687499,call
48.0,0.0958904109589041,30.41,0.8554701953125,call
49.0,0.0958904109589041,30.41,1.0107471337890623,call
50.0,0.0958904109589041,30.41,0.8378922460937499,call
51.0,0.0958904109589041,30.41,0.93945373046875,call
52.0,0.0958904109589041,30.41,1.009770576171875,call
55.0,0.0958904109589041,30.41,1.01953615234375,call
60.0,0.0958904109589041,30.41,0.992187578125,call
61.0,0.0958904109589041,30.41,1.3300814746093748,call
62.0,0.0958904109589041,30.41,1.3515657421874998,call
63.0,0.0958904109589041,30.41,1.3750031249999999,call
64.0,0.0958904109589041,30.41,1.396487392578125,call
65.0,0.0958904109589041,30.41,1.2343788281249999,call
66.0,0.0958904109589041,30.41,1.1054732226562503,call
26.0,0.11506849315068493,30.41,0.6914093359375001,call
29.0,0.11506849315068493,30.41,0.6792024267578126,call
29.5,0.11506849315068493,30.41,0.6694368994140626,call
30.0,0.11506849315068493,30.41,0.6684603466796877,call
32.0,0.11506849315068493,30.41,0.6787141503906251,call
34.0,0.11506849315068493,30.41,0.65820654296875,call
34.5,0.11506849315068493,30.41,0.6269568554687501,call
15.0,0.3452054794520548,30.41,0.795900478515625,call
20.0,0.3452054794520548,30.41,0.7192410888671875,call
21.0,0.3452054794520548,30.41,1.2431678466796874,call
22.0,0.3452054794520548,30.41,0.7495142236328125,call
23.0,0.3452054794520548,30.41,0.754885263671875,call
24.0,0.3452054794520548,30.41,0.7341335180664061,call
25.0,0.3452054794520548,30.41,0.7270535107421875,call
26.0,0.3452054794520548,30.41,0.7563500927734376,call
27.0,0.3452054794520548,30.41,0.7299831689453125,call
28.0,0.3452054794520548,30.41,0.7690452783203126,call
29.0,0.3452054794520548,30.41,0.7419459399414061,call
30.0,0.3452054794520548,30.41,0.7907735766601562,call
31.0,0.3452054794520548,30.41,0.8129901513671874,call
32.0,0.3452054794520548,30.41,0.7956563403320311,call
33.0,0.3452054794520548,30.41,0.7055693505859376,call
34.0,0.3452054794520548,30.41,0.7236355761718749,call
35.0,0.3452054794520548,30.41,0.7663597583007813,call
36.0,0.3452054794520548,30.41,0.7077665942382813,call
37.0,0.3452054794520548,30.41,0.7592797509765626,call
38.0,0.3452054794520548,30.41,0.7075224560546876,call
39.0,0.3452054794520548,30.41,0.7104521142578125,call
40.0,0.3452054794520548,30.41,0.7563500927734376,call
41.0,0.3452054794520548,30.41,0.71679970703125,call
42.0,0.3452054794520548,30.41,0.72851833984375,call
43.0,0.3452054794520548,30.41,0.7465845654296875,call
44.0,0.3452054794520548,30.41,0.7126493579101563,call
45.0,0.3452054794520548,30.41,0.7319362744140624,call
46.0,0.3452054794520548,30.41,0.70898728515625,call
47.0,0.3452054794520548,30.41,0.72070591796875,call
48.0,0.3452054794520548,30.41,0.7412135253906249,call
49.0,0.3452054794520548,30.41,0.7514673291015624,call
50.0,0.3452054794520548,30.41,0.7656273437500001,call
51.0,0.3452054794520548,30.41,0.7192410888671875,call
52.0,0.3452054794520548,30.41,0.7592797509765626,call
53.0,0.3452054794520548,30.41,0.7592797509765626,call
54.0,0.3452054794520548,30.41,0.76367423828125,call
55.0,0.3452054794520548,30.41,0.7675804492187501,call
57.0,0.3452054794520548,30.41,0.7583031982421876,call
58.0,0.3452054794520548,30.41,0.7866232275390624,call
59.0,0.3452054794520548,30.41,0.7866232275390624,call
60.0,0.3452054794520548,30.41,0.778322529296875,call
61.0,0.3452054794520548,30.41,0.79883013671875,call
62.0,0.3452054794520548,30.41,0.868165380859375,call
65.0,0.3452054794520548,30.41,0.8251970605468748,call
15.0,0.5945205479452055,30.41,0.7104521142578125,call
20.0,0.5945205479452055,30.41,0.743166630859375,call
21.0,0.5945205479452055,30.41,0.7521997436523438,call
22.0,0.5945205479452055,30.41,0.7475611181640626,call
23.0,0.5945205479452055,30.41,0.789064609375,call
25.0,0.5945205479452055,30.41,0.7651390673828126,call
26.0,0.5945205479452055,30.41,0.7839377075195313,call
27.0,0.5945205479452055,30.41,0.780275634765625,call
28.0,0.5945205479452055,30.41,0.7387721435546875,call
29.0,0.5945205479452055,30.41,0.7309597216796875,call
30.0,0.5945205479452055,30.41,0.7319362744140624,call
31.0,0.5945205479452055,30.41,0.747072841796875,call
32.0,0.5945205479452055,30.41,0.7810080493164062,call
33.0,0.5945205479452055,30.41,0.7261990270996093,call
35.0,0.5945205479452055,30.41,0.729616961669922,call
36.0,0.5945205479452055,30.41,0.72851833984375,call
37.0,0.5945205479452055,30.41,0.7360866235351562,call
38.0,0.5945205479452055,30.41,0.7315700671386718,call
39.0,0.5945205479452055,30.41,0.7360866235351562,call
40.0,0.5945205479452055,30.41,0.7392604199218749,call
15.0,1.093150684931507,30.41,0.754885263671875,call
17.0,1.093150684931507,30.41,0.7434107690429688,call
18.0,1.093150684931507,30.41,0.7192410888671875,call
19.0,1.093150684931507,30.41,0.7592797509765626,call
20.0,1.093150684931507,30.41,0.8149432568359375,call
21.0,1.093150684931507,30.41,0.7709983837890625,call
22.0,1.093150684931507,30.41,0.7719749365234375,call
23.0,1.093150684931507,30.41,0.7863790893554687,call
24.0,1.093150684931507,30.41,0.7573266455078126,call
25.0,1.093150684931507,30.41,0.7622094091796876,call
26.0,1.093150684931507,30.41,0.7602563037109377,call
27.0,1.093150684931507,30.41,0.7795432202148438,call
28.0,1.093150684931507,30.41,0.7918721984863282,call
29.0,1.093150684931507,30.41,0.7628197546386719,call
30.0,1.093150684931507,30.41,0.7635521691894531,call
31.0,1.093150684931507,30.41,0.7292507543945312,call
32.0,1.093150684931507,30.41,0.7280300634765625,call
33.0,1.093150684931507,30.41,0.729616961669922,call
34.0,1.093150684931507,30.41,0.7301052380371094,call
35.0,1.093150684931507,30.41,0.7454859436035157,call
36.0,1.093150684931507,30.41,0.7597680273437502,call
37.0,1.093150684931507,30.41,0.7331569653320311,call
38.0,1.093150684931507,30.41,0.7573266455078126,call
39.0,1.093150684931507,30.41,0.764772860107422,call
40.0,1.093150684931507,30.41,0.7712425219726562,call
41.0,1.093150684931507,30.41,0.7653832055664063,call
42.0,1.093150684931507,30.41,0.7666038964843751,call
43.0,1.093150684931507,30.41,0.7709983837890625,call
44.0,1.093150684931507,30.41,0.7629418237304688,call
45.0,1.093150684931507,30.41,0.801637725830078,call
46.0,1.093150684931507,30.41,0.756960438232422,call
47.0,1.093150684931507,30.41,0.7629418237304688,call
48.0,1.093150684931507,30.41,0.7685570019531252,call
49.0,1.093150684931507,30.41,0.7614769946289064,call
50.0,1.093150684931507,30.41,0.7498804309082032,call
51.0,1.093150684931507,30.41,0.7170438452148438,call
55.0,1.093150684931507,30.41,0.7045927978515626,call
60.0,1.093150684931507,30.41,0.7202176416015625,call
61.0,1.093150684931507,30.41,0.687625194091797,call
62.0,1.093150684931507,30.41,0.708010732421875,call
63.0,1.093150684931507,30.41,0.7141141870117188,call
64.0,1.093150684931507,30.41,0.6887238159179689,call
65.0,1.093150684931507,30.41,0.6967803759765626,call
66.0,1.093150684931507,30.41,0.6945831323242189,call
16.0,0.019178082191780823,30.41,2.9414088964843748,put
19.0,0.019178082191780823,30.41,1.5078149609375,put
20.0,0.019178082191780823,30.41,1.359378203125,put
21.0,0.019178082191780823,30.41,1.5078149609375,put
22.0,0.019178082191780823,30.41,1.09375453125,put
23.0,0.019178082191780823,30.41,1.5195336523437497,put
24.0,0.019178082191780823,30.41,1.0488328808593752,put
24.5,0.019178082191780823,30.41,1.259769326171875,put
25.0,0.019178082191780823,30.41,1.0371141894531253,put
26.0,0.019178082191780823,30.41,0.8808605664062499,put
27.0,0.019178082191780823,30.41,0.726565234375,put
28.0,0.019178082191780823,30.41,0.68555001953125,put
29.0,0.019178082191780823,30.41,0.6152382226562501,put
30.0,0.019178082191780823,30.41,0.6181678808593751,put
31.0,0.019178082191780823,30.41,0.561527822265625,put
32.0,0.019178082191780823,30.41,0.5644574804687501,put
33.0,0.019178082191780823,30.41,0.85742330078125,put
34.0,0.019178082191780823,30.41,0.936524072265625,put
35.0,0.019178082191780823,30.41,0.9570316796874999,put
36.0,0.019178082191780823,30.41,1.0712937060546879,put
37.0,0.019178082191780823,30.41,1.091801416015625,put
38.0,0.019178082191780823,30.41,1.236331943359375,put
