K,T,S0,iv,type
240.0,0.11232876712328767,278.28,0.40869731933593745,call
245.0,0.11232876712328767,278.28,0.35632967895507806,call
250.0,0.11232876712328767,278.28,0.3389348333740234,call
255.0,0.11232876712328767,278.28,0.30927204406738285,call
265.0,0.11232876712328767,278.28,0.26068854553222653,call
270.0,0.11232876712328767,278.28,0.24146266357421875,call
275.0,0.11232876712328767,278.28,0.22730264892578123,call
280.0,0.11232876712328767,278.28,0.21656056884765623,call
285.0,0.11232876712328767,278.28,0.2075579733276367,call
290.0,0.11232876712328767,278.28,0.20130193237304686,call
295.0,0.11232876712328767,278.28,0.1981281359863281,call
300.0,0.11232876712328767,278.28,0.19690744506835936,call
305.0,0.11232876712328767,278.28,0.19837227416992187,call
310.0,0.11232876712328767,278.28,0.1997150341796875,call
100.0,0.18904109589041096,278.28,1.1782267651367184,call
105.0,0.18904109589041096,278.28,1.0869186279296876,call
110.0,0.18904109589041096,278.28,1.1040083862304688,call
115.0,0.18904109589041096,278.28,1.0554246447753908,call
120.0,0.18904109589041096,278.28,1.0090381579589844,call
125.0,0.18904109589041096,278.28,0.9692385888671875,call
130.0,0.18904109589041096,278.28,0.9350592431640624,call
135.0,0.18904109589041096,278.28,0.9016123120117188,call
140.0,0.18904109589041096,278.28,0.8571791625976561,call
145.0,0.18904109589041096,278.28,0.8293474096679687,call
150.0,0.18904109589041096,278.28,0.7768577001953125,call
155.0,0.18904109589041096,278.28,0.7609887182617189,call
160.0,0.18904109589041096,278.28,0.73437765625,call
165.0,0.18904109589041096,278.28,0.7131376342773439,call
170.0,0.18904109589041096,278.28,0.6617465466308594,call
175.0,0.18904109589041096,278.28,0.6362341064453125,call
180.0,0.18904109589041096,278.28,0.6203651245117189,call
185.0,0.18904109589041096,278.28,0.5942423388671876,call
190.0,0.18904109589041096,278.28,0.5679974841308593,call
195.0,0.18904109589041096,278.28,0.5437057348632813,call
200.0,0.18904109589041096,278.28,0.51562984375,call
205.0,0.18904109589041096,278.28,0.5463912548828126,call
210.0,0.18904109589041096,278.28,0.5129443237304687,call
215.0,0.18904109589041096,278.28,0.5040943145751953,call
220.0,0.18904109589041096,278.28,0.4592339233398438,call
225.0,0.18904109589041096,278.28,0.4351863122558594,call
230.0,0.18904109589041096,278.28,0.40241076110839846,call
235.0,0.18904109589041096,278.28,0.38867798828125,call
240.0,0.18904109589041096,278.28,0.36389796264648444,call
245.0,0.18904109589041096,278.28,0.34442794250488284,call
250.0,0.18904109589041096,278.28,0.3300237896728515,call
255.0,0.18904109589041096,278.28,0.31250687499999996,call
260.0,0.18904109589041096,278.28,0.299262378540039,call
265.0,0.18904109589041096,278.28,0.28766581481933584,call
270.0,0.18904109589041096,278.28,0.2746349392700196,call
275.0,0.18904109589041096,278.28,0.2647778601074219,call
280.0,0.18904109589041096,278.28,0.25623302368164064,call
285.0,0.18904109589041096,278.28,0.2483595672607422,call
290.0,0.18904109589041096,278.28,0.2420730090332031,call
295.0,0.18904109589041096,278.28,0.23749541809082028,call
300.0,0.18904109589041096,278.28,0.23413851806640623,call
305.0,0.18904109589041096,278.28,0.23175817077636718,call
310.0,0.18904109589041096,278.28,0.23157506713867188,call
315.0,0.18904109589041096,278.28,0.23206334350585936,call
320.0,0.18904109589041096,278.28,0.23084265258789063,call
325.0,0.18904109589041096,278.28,0.23133092895507812,call
330.0,0.18904109589041096,278.28,0.23242955078125,call
335.0,0.18904109589041096,278.28,0.23255161987304687,call
340.0,0.18904109589041096,278.28,0.23389437988281248,call
350.0,0.18904109589041096,278.28,0.23828886718749998,call
360.0,0.18904109589041096,278.28,0.24414818359375,call
370.0,0.18904109589041096,278.28,0.249030947265625,call
380.0,0.18904109589041096,278.28,0.25586681640625003,call
390.0,0.18904109589041096,278.28,0.34058276611328125,call
400.0,0.18904109589041096,278.28,0.2929758203124999,call
410.0,0.18904109589041096,278.28,0.28125718749999995,call
420.0,0.18904109589041096,278.28,0.40772076660156253,call
430.0,0.18904109589041096,278.28,0.40430283203125,call
440.0,0.18904109589041096,278.28,0.44385321777343745,call
450.0,0.18904109589041096,278.28,0.428716650390625,call
5.0,0.01643835616438356,278.28,8.75000453125,put
10.0,0.01643835616438356,278.28,7.2500009375,put
15.0,0.01643835616438356,278.28,6.2500021875,put
20.0,0.01643835616438356,278.28,5.62500296875,put
25.0,0.01643835616438356,278.28,5.12500359375,put
30.0,0.01643835616438356,278.28,4.7500040624999995,put
35.0,0.01643835616438356,278.28,5.000003749999999,put
40.0,0.01643835616438356,278.28,4.312504609374999,put
45.0,0.01643835616438356,278.28,4.187504765625,put
50.0,0.01643835616438356,278.28,3.6250009375000003,put
55.0,0.01643835616438356,278.28,4.8593789257812485,put
60.0,0.01643835616438356,278.28,4.2500046875,put
65.0,0.01643835616438356,278.28,3.1250021875,put
70.0,0.01643835616438356,278.28,2.93750265625,put
75.0,0.01643835616438356,278.28,2.93750265625,put
80.0,0.01643835616438356,278.28,3.0156274609375,put
85.0,0.01643835616438356,278.28,3.3125017187499997,put
90.0,0.01643835616438356,278.28,2.43750390625,put
95.0,0.01643835616438356,278.28,2.3125042187499996,put
100.0,0.01643835616438356,278.28,2.1875045312499997,put
105.0,0.01643835616438356,278.28,2.0937547656249995,put
110.0,0.01643835616438356,278.28,1.96875015625,put
115.0,0.01643835616438356,278.28,1.9062504687500001,put
120.0,0.01643835616438356,278.28,1.8125009374999999,put
125.0,0.01643835616438356,278.28,1.75000125,put
130.0,0.01643835616438356,278.28,1.65625171875,put
135.0,0.01643835616438356,278.28,1.5625021874999998,put
140.0,0.01643835616438356,278.28,2.1582077294921875,put
145.0,0.01643835616438356,278.28,1.4375028125,put
150.0,0.01643835616438356,278.28,1.3437532812499997,put
155.0,0.01643835616438356,278.28,1.2812535937499998,put
160.0,0.01643835616438356,278.28,1.21875390625,put
165.0,0.01643835616438356,278.28,1.625001875,put
170.0,0.01643835616438356,278.28,1.2734411328124997,put
175.0,0.01643835616438356,278.28,1.0312548437500002,put
180.0,0.01643835616438356,278.28,0.9687503125,put
185.0,0.01643835616438356,278.28,1.228519482421875,put
190.0,0.01643835616438356,278.28,0.85937640625,put
195.0,0.01643835616438356,278.28,0.851563984375,put
200.0,0.01643835616438356,278.28,0.7500025,put
205.0,0.01643835616438356,278.28,0.73437765625,put
210.0,0.01643835616438356,278.28,0.710940390625,put
215.0,0.01643835616438356,278.28,0.6757844921875001,put
220.0,0.01643835616438356,278.28,0.648441015625,put
222.5,0.01643835616438356,278.28,0.6757844921875001,put
225.0,0.01643835616438356,278.28,0.5664105859375,put
227.5,0.01643835616438356,278.28,0.727541787109375,put
230.0,0.01643835616438356,278.28,0.500005,put
232.5,0.01643835616438356,278.28,0.507817421875,put
235.0,0.01643835616438356,278.28,0.4804739453125,put
237.5,0.01643835616438356,278.28,0.5537154003906251,put
